fixture,ts_ms,outcome_idx,outcome,in_running,event_driven,z,prob_before,prob_after,entry_odds,lock_immediate,lock_60s,lock_120s,lock_300s,lock_600s,lock_900s,unhedged_terminal,hit
18175981,1782851361942,0,part1,False,False,2.51,0.6037,0.7593,1.317,-0.62,-25.15,-0.51,-25.44,-25.62,-0.51,31.7,True
18175981,1782857555209,0,part1,True,True,41.33,0.8824,0.9766,1.024,-0.11,0.29,0.08,0.57,-0.89,-0.89,2.4,True
18175983,1782746739346,0,part1,False,False,320.6,0.5318,0.7184,1.392,-0.71,-0.72,-0.72,-26.81,-26.8,-0.71,-100.0,False
18175983,1782747571812,0,part1,False,False,2.55,0.5571,0.7184,1.392,-0.72,-0.71,-26.54,-0.54,-26.28,-26.23,-100.0,False
18175983,1782749293537,0,part1,False,False,2.82,0.5564,0.7179,1.393,-0.7,-26.21,-26.16,-26.21,-26.35,-26.36,-100.0,False
18175983,1782750009460,0,part1,False,False,2.97,0.5543,0.7163,1.396,-0.65,-0.65,-0.65,-0.91,-0.61,-26.61,-100.0,False
18175983,1782753759279,0,part1,False,False,672.84,0.5332,0.7153,1.398,-0.7,-0.45,-26.09,-0.26,-0.25,-0.21,-100.0,False
18175983,1782767553493,2,part2,True,True,15.39,0.0692,0.3129,3.196,-2.91,-13.17,-15.28,189.27,-15.42,-15.15,-100.0,False
18175983,1782769676054,0,part1,True,True,11.35,0.3624,0.6083,1.644,-0.94,-5.66,-6.69,-7.9,-12.88,-23.9,-100.0,False
18175983,1782770110104,1,draw,True,True,2.66,0.3517,0.3919,2.552,-1.66,-0.33,1.25,6.18,12.34,29.91,155.2,True
18175983,1782770813164,1,draw,True,True,5.66,0.4229,0.6707,1.491,-0.82,-28.15,-26.04,-22.71,-12.01,7.52,49.1,True
18175983,1782771442585,1,draw,True,True,2.8,0.5218,0.6711,1.49,-0.82,-7.7,-35.57,9.02,-36.75,-4.32,49.0,True
18175983,1782771779307,2,part2,True,True,3.42,0.0543,0.0943,10.6,-11.02,0.1,-72.32,-15.63,-33.74,-57.0,-100.0,False
18175983,1782773143317,0,part1,True,True,4.15,0.4065,0.9259,1.08,-0.21,-1.15,-1.15,-54.73,-58.81,-69.4,-100.0,False
18175983,1782774647798,1,draw,True,True,2.9,0.6887,0.9083,1.101,-0.17,3.53,3.53,3.53,3.53,3.53,10.1,True
18176123,1783095119802,0,part1,False,False,2.55,0.21,0.2635,3.795,-3.55,-3.43,-26.87,-26.96,-26.91,-3.51,-100.0,False
18176123,1783095119802,2,part2,False,False,2.55,0.3109,0.404,2.475,-2.09,-2.06,-28.53,-28.58,-28.39,-2.08,-100.0,False
18176123,1783102425576,2,part2,True,True,7.93,0.3193,0.7874,1.27,-0.45,-18.7,0.23,1.99,4.59,6.42,-100.0,False
18176123,1783106241495,0,part1,True,True,62.88,0.0781,0.2454,4.075,-3.69,-17.36,-19.55,-25.04,-29.5,-32.74,-100.0,False
18176123,1783106241495,1,draw,True,True,75.43,0.246,0.4753,2.104,-1.64,7.5,8.09,13.29,19.38,23.28,110.4,True
18176123,1783107738522,0,part1,True,True,3.48,0.1639,0.204,4.902,-4.18,-29.9,-34.18,-42.8,-63.76,-14.26,-100.0,False
18176123,1783109453765,1,draw,True,True,2.8,0.6287,0.8417,1.188,-0.32,-27.19,2.25,10.29,-17.71,-9.59,18.8,True
18176123,1783110988724,1,draw,True,True,2.65,0.8055,0.9699,1.031,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,3.1,True
18179549,1782943030134,0,part1,False,False,1915.99,0.4477,0.6373,1.569,-0.91,-30.99,-30.99,-30.99,-31.03,-31.03,56.9,True
18179549,1783043849609,1,draw,False,False,1418.42,0.2135,0.4137,2.417,-1.67,-1.67,-1.67,-1.67,-49.86,-1.67,-100.0,False
18179549,1783049016869,1,draw,False,False,2.65,0.2364,0.4117,2.429,-1.68,-49.94,-49.94,-49.93,-49.93,-50.02,-100.0,False
18179549,1783049956501,1,draw,False,False,3.46,0.2277,0.4124,2.425,-1.7,-1.73,-1.73,-50.07,-50.1,-50.07,-100.0,False
18179549,1783055397976,1,draw,False,False,2.83,0.2342,0.4107,2.435,-1.72,-49.89,-49.89,-49.89,-49.81,-1.25,-100.0,False
18179549,1783057554404,1,draw,False,False,2.59,0.2386,0.4092,2.444,-1.71,-0.88,-0.88,-49.41,-0.96,-49.35,-100.0,False
18179549,1783097712101,1,draw,False,False,2.65,0.2373,0.4052,2.468,-1.75,-48.96,-1.62,-1.28,-48.82,-0.7,-100.0,False
18179549,1783098735213,0,part1,False,False,2.94,0.504,0.6807,1.469,-0.8,-0.8,-30.11,-30.13,-0.81,-0.81,46.9,True
18179549,1783102187578,1,draw,False,False,3320.39,0.2135,0.4092,2.444,-1.72,-1.72,-1.72,-1.72,-49.62,-1.77,-100.0,False
18179549,1783103763847,0,part1,False,False,3.16,0.5023,0.6821,1.466,-0.81,-0.88,-0.81,-0.81,-29.91,-0.78,46.6,True
18179549,1783110591894,0,part1,False,False,2.65,0.5114,0.6821,1.466,-0.81,-29.35,-29.35,-29.35,-29.38,-0.83,46.6,True
18179549,1783111313549,0,part1,False,False,2.99,0.5078,0.6817,1.467,-0.76,-0.76,-0.76,-0.76,-0.76,-0.76,46.7,True
18179549,1783112401348,1,draw,False,False,2333.19,0.2147,0.4093,2.443,-1.69,-1.67,-1.67,-1.58,-1.53,-1.56,-100.0,False
18179549,1783120301875,0,part1,False,False,203.44,0.487,0.6812,1.468,-0.77,-29.0,-0.22,-28.83,-28.59,-28.32,46.8,True
18179549,1783122718948,0,part1,False,False,4.05,0.5043,0.6863,1.457,-0.73,-29.54,-29.61,-29.56,-0.74,-29.53,45.7,True
18179549,1783125594842,0,part1,False,False,2.58,0.5158,0.6859,1.458,-0.78,-29.69,-29.64,-29.72,-0.74,-30.62,45.8,True
18179549,1783129494725,0,part1,True,True,3.09,0.5216,0.885,1.13,-0.25,-0.19,-4.43,-3.77,3.58,3.65,13.0,True
18179549,1783131021468,0,part1,True,True,2.57,0.8791,0.956,1.046,-0.1,-10.92,1.28,-10.67,-10.69,-12.0,4.6,True
18179549,1783135567879,0,part1,True,True,2.66,0.9034,0.9533,1.049,-0.13,-0.1,1.42,2.44,2.44,2.44,4.9,True
18179550,1782770078982,1,draw,False,False,784.23,0.2941,0.4527,2.209,-1.75,-1.75,-1.75,-1.61,-1.65,-1.61,,
18179550,1782841880171,1,draw,False,False,421.27,0.2958,0.4566,2.19,-1.72,-1.76,-1.76,-37.38,-37.38,-1.91,,
18179550,1782874925564,1,draw,False,False,3.01,0.303,0.4344,2.302,-1.87,-1.9,-35.65,-35.65,-35.65,-35.72,,
18179550,1782877125608,1,draw,False,False,964.01,0.2889,0.4342,2.303,-1.88,-35.58,-35.58,-35.6,-1.89,-1.92,,
18179550,1782919067700,0,part1,False,False,2.65,0.364,0.4521,2.212,-1.79,-1.72,-1.72,-1.72,-24.17,-24.16,,
18179550,1782926844182,1,draw,False,False,2.65,0.3011,0.4221,2.369,-1.96,-34.74,-2.0,-34.51,-34.46,-34.57,,
18179550,1782928079326,1,draw,False,False,2.83,0.3006,0.4219,2.37,-1.94,-34.58,-34.58,-34.61,-34.58,-34.61,,
18179550,1782937540167,2,part2,True,True,8.44,0.2199,0.4808,2.08,-1.6,49.99,49.72,51.19,59.78,-0.32,,
18179550,1782940455800,2,part2,True,True,22.12,0.4739,0.7905,1.265,-0.48,0.75,2.47,6.49,11.25,14.09,,
18179550,1782942538862,1,draw,True,True,14.04,0.0565,0.1904,5.251,-2.1,-10.44,-13.07,311.67,389.33,151.66,,
18179550,1782942708441,0,part1,True,True,17.24,0.0143,0.1437,6.957,-3.76,6.88,95.59,-46.38,122.88,122.84,,
18179550,1782944015079,1,draw,True,True,2.83,0.55,0.8,1.25,-0.44,-28.23,-27.17,-23.37,-19.99,-7.02,,
18179551,1782949916586,1,draw,False,False,2.97,0.1917,0.3618,2.764,-1.91,-1.91,-1.91,-1.91,-53.95,-53.95,-100.0,False
18179551,1782958113800,0,part1,False,False,248.03,0.5367,0.7331,1.364,-0.66,-27.78,-27.78,-0.35,-27.78,-0.31,36.4,True
18179551,1783021033686,0,part1,True,True,2.71,0.4648,0.8889,1.125,-0.3,-1.9,-1.74,-0.73,-0.43,-1.91,12.5,True
18179551,1783024246718,0,part1,True,True,28.26,0.8917,0.9785,1.022,-0.17,-0.17,0.36,0.11,0.11,0.11,2.2,True
18179552,1782959158833,1,draw,False,False,1189.81,0.2962,0.4515,2.215,-1.75,-1.73,-1.73,-1.72,-1.73,-1.73,-100.0,False
18179552,1782960676379,1,draw,False,False,2.55,0.3166,0.4515,2.215,-1.73,-1.59,-1.59,-1.93,-1.91,-36.44,-100.0,False
18179552,1783011904727,1,draw,False,False,3.32,0.2985,0.4502,2.221,-1.71,-1.71,-38.65,-1.44,-38.69,-38.63,-100.0,False
18179552,1783019790059,1,draw,False,False,3.75,0.3029,0.4554,2.196,-1.68,-1.68,-1.59,-1.62,-1.62,-37.68,-100.0,False
18179552,1783025664053,0,part1,False,False,449.1,0.3586,0.4876,2.051,-1.58,-28.09,-28.09,-28.27,-1.86,-28.86,105.1,True
18179552,1783028277523,1,draw,False,False,2.84,0.3121,0.4579,2.184,-1.7,-37.63,-1.66,-37.59,-37.52,-37.52,-100.0,False
18179552,1783033842704,1,draw,False,False,1757.33,0.2943,0.4587,2.18,-1.72,-1.72,-1.72,-1.61,-1.57,-37.68,-100.0,False
18179552,1783037959627,1,draw,False,False,1385.81,0.2942,0.461,2.169,-1.67,-1.67,-1.67,-1.67,-1.63,-1.87,-100.0,False
18179552,1783048126399,2,part2,True,True,2.54,0.2166,0.2716,3.682,-3.42,-2.55,-23.45,-86.12,-88.23,-90.62,-100.0,False
18179552,1783048279797,0,part1,True,True,3.72,0.374,0.6601,1.515,-0.88,15.47,-0.34,15.97,18.93,21.39,51.5,True
18179552,1783051594091,0,part1,True,True,33.6,0.7054,0.9149,1.093,-0.15,0.36,0.56,1.32,2.0,3.21,9.3,True
18179759,1782747956876,0,part1,False,False,146.77,0.3108,0.4274,2.34,-1.93,-1.93,-1.93,-1.93,-29.58,-1.32,134.0,True
18179759,1782747956876,2,part2,False,False,202.88,0.1909,0.2462,4.062,-3.83,-3.83,-3.83,-3.83,-26.52,-5.49,-100.0,False
18179759,1782788564435,0,part1,False,False,190.72,0.3086,0.427,2.342,-1.92,-29.19,-1.08,-0.91,-28.9,-0.82,134.2,True
18179759,1782788564435,2,part2,False,False,55.12,0.1851,0.2407,4.155,-3.92,-27.31,-5.04,-5.26,-28.26,-5.38,-100.0,False
18179759,1782790104447,1,draw,False,False,1826.75,0.3312,0.5063,1.975,-1.43,-36.3,-36.3,-36.3,-36.28,-1.38,-100.0,False
18179759,1782840016690,1,draw,False,False,805.98,0.3333,0.5147,1.943,-1.43,-1.43,-36.77,-36.77,-1.39,-1.39,-100.0,False
18179759,1782848224103,0,part1,False,False,2.65,0.3224,0.4357,2.295,-1.84,-1.84,-1.81,-1.81,-31.26,-31.22,129.5,True
18179759,1782848224103,2,part2,False,False,2.62,0.1847,0.2312,4.326,-4.05,-4.05,-4.09,-4.09,-27.51,-27.55,-100.0,False
18179759,1782860080845,1,draw,False,False,2.74,0.3535,0.516,1.938,-1.39,-1.53,-1.45,-1.21,-1.26,-0.94,-100.0,False
18179759,1782872584211,0,part1,True,True,5.67,0.3671,0.8489,1.178,-0.34,-15.79,-0.29,0.14,8.6,8.32,17.8,True
18179763,1782931022954,0,part1,False,False,340.56,0.3909,0.5371,1.862,-1.37,-1.37,-1.37,-1.46,-1.46,-1.46,,
18179763,1782945593888,1,draw,False,False,2.82,0.2782,0.4244,2.356,-1.83,-1.89,-1.83,-1.89,-40.75,-2.15,,
18179763,1782960994874,1,draw,False,False,1846.3,0.2544,0.4115,2.43,-1.93,-1.93,-40.1,-40.11,-2.5,-2.5,,
18179763,1783024169027,0,part1,False,False,4.46,0.4314,0.5787,1.728,-1.16,-1.19,-1.19,-28.29,-1.19,-28.89,,
18179763,1783025421019,0,part1,False,False,4.68,0.4253,0.578,1.73,-1.16,-1.16,-1.16,-29.56,-1.89,-29.75,,
18179763,1783037622552,2,part2,True,True,32.96,0.1483,0.4669,2.142,-1.66,-3.16,-5.04,2.61,0.59,-74.83,,
18179763,1783038446333,0,part1,True,True,5.18,0.2032,0.4634,2.158,-1.55,-10.43,-14.8,-20.9,-30.85,-45.75,,
18179763,1783038446333,1,draw,True,True,7.97,0.3282,0.4115,2.43,-1.78,6.59,12.68,20.54,31.11,45.95,,
18179763,1783039274508,2,part2,True,True,2.96,0.1257,0.175,5.715,-5.5,-10.2,-27.0,-37.98,-46.83,-99.04,,
18179763,1783040069289,0,part1,True,True,9.73,0.2486,0.9174,1.09,-0.19,1.16,0.3,2.5,-64.84,-64.84,,
18179764,1782783840909,1,draw,False,False,436.75,0.1707,0.3687,2.712,-1.7,-1.7,-1.7,-1.62,-1.62,-1.62,-100.0,False
18179764,1782846503537,0,part1,False,False,1655.79,0.5298,0.7616,1.313,-0.57,-31.24,-0.38,-31.2,-31.22,-31.36,31.3,True
18179764,1782847840635,0,part1,False,False,651.03,0.5299,0.7628,1.311,-0.54,-0.73,-0.73,-0.84,-31.6,-31.6,31.1,True
18179764,1782861910000,0,part1,False,False,369.9,0.5364,0.7587,1.318,-0.6,-30.21,-30.21,-30.17,-30.21,-30.16,31.8,True
18179764,1782922070133,2,part2,True,True,62.01,0.082,0.4537,2.204,-1.74,-4.9,-4.21,2.54,-59.92,26.07,-100.0,False
18179764,1782926589284,2,part2,True,True,2.53,0.2955,0.3429,2.916,-2.61,0.4,3.02,16.05,28.15,30.55,-100.0,False
18179764,1782927554171,0,part1,True,True,6.73,0.2255,0.4186,2.389,-1.61,-1.28,-5.0,-12.06,-23.35,123.59,138.9,True
18179764,1782927554171,1,draw,True,True,49.94,0.3533,0.5076,1.97,-1.3,-0.08,3.96,8.95,18.83,-88.61,-100.0,False
18179764,1782928190824,0,part1,True,True,7.57,0.3605,0.9294,1.076,-0.14,0.25,0.46,0.12,4.71,4.71,7.6,True
18185036,1783100566564,1,draw,False,False,2029.73,0.2721,0.4476,2.234,-1.69,-40.94,-40.94,-41.15,-40.57,-40.09,-100.0,False
18185036,1783111455913,1,draw,False,False,652.07,0.2767,0.4519,2.213,-1.7,-39.64,-39.79,-39.2,-38.61,-0.81,-100.0,False
18185036,1783134621592,1,draw,False,False,2.65,0.3039,0.4521,2.212,-1.69,-39.38,-39.38,-39.41,-39.71,-1.84,-100.0,False
18185036,1783177306797,1,draw,False,False,379.25,0.2715,0.445,2.247,-1.66,-40.19,-1.66,-1.67,-39.77,-1.55,-100.0,False
18185036,1783188882985,2,part2,True,True,78.26,0.343,0.7102,1.408,-0.7,-1.31,-1.45,-1.08,0.01,2.92,40.8,True
18185036,1783190803238,2,part2,True,True,16.53,0.7605,0.9671,1.034,-0.08,1.09,1.47,1.23,1.43,1.43,3.4,True
18187298,1782880128213,1,draw,False,False,488.01,0.2648,0.4234,2.362,-1.91,-1.91,-39.48,-39.49,-39.49,-39.49,-100.0,False
18187298,1782961488600,1,draw,False,False,580.7,0.2557,0.4073,2.455,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-100.0,False
18187298,1783137511386,1,draw,False,False,2.65,0.2707,0.4031,2.481,-2.03,-1.97,-1.97,-1.97,-1.97,-1.97,-100.0,False
18187298,1783179080963,0,part1,False,False,1057.24,0.4011,0.5272,1.897,-1.38,-1.38,-1.38,-1.38,-1.38,-1.38,-100.0,False
18187298,1783188576328,1,draw,False,False,290.55,0.2528,0.4052,2.468,-1.97,-39.96,-39.95,-39.95,-39.89,-39.79,-100.0,False
18187298,1783189826125,1,draw,False,False,318.92,0.2526,0.4055,2.466,-2.0,-1.87,-39.79,-39.79,-39.8,-39.8,-100.0,False
18187298,1783193991963,1,draw,False,False,3.46,0.2644,0.4039,2.476,-1.98,-2.12,-2.14,-39.61,-39.54,-39.61,-100.0,False
18187298,1783195252147,1,draw,False,False,157.75,0.2517,0.4037,2.477,-2.01,-40.13,-40.13,-1.25,-1.25,-1.25,-100.0,False
18187298,1783276762622,1,draw,False,False,2.82,0.2682,0.4042,2.474,-1.99,-2.04,-2.04,-1.94,-2.24,-40.04,-100.0,False
18187298,1783287453735,1,draw,True,True,2.54,0.448,0.511,1.957,-1.36,0.35,3.3,-48.55,-47.85,-58.41,-100.0,False
18187298,1783287738892,2,part2,True,True,79.98,0.1329,0.6588,1.518,-0.79,-2.65,-2.56,1.04,13.16,48.77,51.8,True
18188721,1782864660555,1,draw,False,False,2.64,0.153,0.3238,3.088,-1.99,-1.99,-1.99,-61.6,-61.6,-61.6,-100.0,False
